date	state	title	text	avg_sentiment	words
October/1998	France	None	Following a recovery very much driven by exports in 1997, 1998 has seen a clear rebound of domestic demand, yield- ing  a  GDP  growth  rate  of  3.1%.    The  acceleration  is  re- markable : after 2 years of subdued growth (0.9% per year), internal demand is estimated to accelerate by 3.8% in 1998, benefiting in particular from good employment perform- ance and record low inflation.  All demand components ex- perience this improvement.  Private consumption grows by a very strong 3.6%, while equipment investment also picks up markedly by 8.9%.  The 0.8% growth rate of construc- tion investment may look rather subdued, but it represents a true turn–around compared to previous years.  Logically given both worse external demand and healthy domestic demand, the contribution of net exports to growth in 1998 is estimated to be clearly negative. A negative contribution from the external side is forecast for 1999 as well, but to a lesser extent.  Uncertainties in the world economy are as- sumed to weigh down on the forecast for 1999, not so much through trade but through domestic demand.  Falling busi- ness confidence, already visible in surveys, is expected to fuel more prudent behaviour in terms of equipment invest- ment and stockbuilding.  Private consumption is also ex- pected to return to a more normal pattern.  As a result GDP growth is forecast to slow somewhat in 1999 to 2.6%, be- fore reaccelerating slightly to 2.8% in 2000.  Moderate im- provement is expected in the public sector deficit, which should fall from 2.9% of GDP this year to 2.3% in 1999 and 1.9% in 2000.  The debt to GDP ratio is for ecast to start falling from 2000.		
October/1998	Italy	None	After accelerating in the middle of 1997, real GDP growth weakened  in  the  following  quarters.  The  annual  rate  of growth  slowed  from  2.5%  in  the  first  quarter  of  1998  to 1.1%  in  the  second  quarter  leaving  an  expected  average growth rate for the year as a whole of only 1.7%. Real GDP growth is expected to accelerate gradually in 1999–2000, to approach its trend rate of about 2.5%. Domestic demand continued to be sustained in the first half of 1998, as a result of a large accumulation of stocks and favourable develop- ments  in  equipment  investment.  The  deceleration  of  pri- vate consumption reflects the gradual phasing out of tax in- centives on car sales, the squeeze on personal disposable income and some deterioration in households’ confidence. Private consumption is expected to improve in the period 1999–2000  thanks  to  better  employment  prospects,  im- proving  real  disposable  income  and  lower  interest  rates. Total investment is expected to strengthen (from 3.3% in 1998 to 6.7% in 2000), as result of better demand prospects and a lower cost of capital. Lower world demand will re- duce export growth in 1999, while in 2000 some improve- ments are expected. Import growth is likely to decelerate in 1999 with the fading out of the car incentive scheme, which boosted imports in 1997–98. Employment is expected to improve  gradually  during  the  forecast  period  (+0.3%  in 1999  and  +0.6%  in  2000).    Positive  effects  are  expected from the newly introduced measures for higher flexibility in the labour market and from the initiatives aiming to re- duce labour costs in the depressed areas. Inflation has re- mained subdued (2.2% in 1998) and is expected to remain so, thanks to wage moderation, low commodity prices and the slow pace of economic recovery. The introduction of a wide–ranging fiscal reform has influenced the timing of tax receipts, but the 2.6% deficit target for the year should be met. As the government fell over the adoption of the 1999 budget the no policy change assumption points to a deficit of around 2.3% of GDP. The Draft Budget Law for 1999 in- troduced measures of additional revenues and savings for 0.7%  of  GDP  (according  to  government  estimates),  of which  around  0.3%  are  aimed  at  financing  employment measures and tax relief for the poorest households.  The re- duction in the deficit to 2.0% of GDP in year 2000 is mainly due to lower government interest payments. 		
October/1998	United Kingdom	None	Growth remained stronger than expected in the first half of 1998 so the forecast for the year as a whole has been revised up to 2.5% from 1.9% in the spring. However there are now clear signs that the economy is slowing in response to mon- etary and fiscal tightening. The impact on trade has been particularly  marked  with  the  negative  effects  of  the strength of sterling exacerbated by the crisis in south east Asia. GDP growth is forecast to fall back to 1.3% in 1999 before rising again to around trend at 2.1% in 2000. Infla- tionary pressures in the UK economy are subdued, helped by weak world wide commodity prices, and look set to re- main so. The private consumption deflator is forecast to in- crease by about 2% in all three forecasting years. Buoyant recent revenues and ongoing consolidation resulting from announced plans should ensure that the public finances re- main close to balance over the forecasting horizon, in line with the objectives of the Stability and Growth Pact.		
October/1998	Spain	None	GDP rose at an annualised rate of 3.8% in the first half of 1998, a rate which is expected to be sustained during the rest  of  the  year.  As  a  result,  for  1998  as  a  whole,  GDP growth is forecast to grow by around 3.8%. Economic ac- tivity in 1999 is expected to decelerate slightly, especially during the first quarters of the year. In 2000, GDP growth is foreseen  to  stabilise  at  around  3.5%.  With  regard  to  the components of growth, in the first half of 1998 domestic demand remained strong, led by private consumption and investment in equipment, whereas the external sector had a negative contribution to GDP growth. Private consumption is expected to increase by 3.4% in 1998, mainly sustained by continued strong job creation. In 1999 it is expected to accelerate,  partially  due  to  the  income  tax  reform  which will  raise  households’  disposable  income.  Investment  in equipment registered a growth rate of 11% in 1997, and for 1998  it  is  expected  to  accelerate further  to  12.5%,  supported by buoyant demand, high profits, low interest rates and a high rate of capacity utilisation. It is forecast to slow down in 1999 (growth rate of about 8%) as a result of the slight internal demand deceleration and the less dynamic external markets. Investment in construction is foreseen to recover  strength  progressively  in  the  forecast  period, owing to lower interest rates and to higher public construc- tion. This year’s acceleration from 1.3% to 6.2% will be continued  in  the  years  1999  and  2000  for  which  growth rates close to 8% are expected 		
October/1998	Netherlands	None	The  Netherlands   are  expected  to  complete  a  five– year–roll   of   economic   growth   close   to   3%   p.a.   in 1996–2000, even displaying an acceleration towards 3  % this year mainly due to strong domestic demand.		
October/1998	Greece	None	In  Greece domestic demand is expected to become the engine of economic growth next year driven by strong  investment  and  a  progressive  rise  in  private  con- sumption. 		
October/1998	Austria	None	While the foreign contribution to growth is ex- pected to remain positive though considerably declining in Austria  		
October/1998	Ireland	None	Ireland adding the years 1998 to 2000 to the suc- cess  story  which  becomes  evident  in  an  average  annual growth  of  7.7%  in  the  1990s,  well  ahead  of  the  second fastest  growing  economy 		
October/1998	Germany	None	Economic activity gathered substantial momentum in the first half of 1998 as GDP grew at an annualised rate of 3.4% (seasonally adjusted). In contrast to 1997, when stocks and net exports were the main determinants, growth was sup- ported by contributions from all domestic components ex- cept construction investment. Against the backdrop of the strong performance in the first half of the year, annual out- put growth in 1998 is expected to accelerate compared to last year’s 2.2% and to remain close to the 2 ¼ % level in 1999 and close to 2 ½  in 2000. In contrast to many previous years of expansion in Germany, the contribution of net ex- ports to GDP growth will be virtually negligible because net exports are affected by the deterioration of the external environment. Therefore the driving force of future output growth will be domestic demand. Private consumption will continue to accelerate moderately, supported by  low price rises and a sustained improvement in labour incomes.  The contribution of government consumption will be small but distinctly positive in 1998 with some acceleration starting next  year  as  a  further  slight  loosening  of  the  budgetary stance  takes  hold.  Although  the  strong  growth  of  equip- ment  investment  will  be  partly  compensated  for  by  a further  fall  in  construction  investment  in  1998,  overall capital formation is expected to grow much more strongly than last year. While equipment investment is expected to slow down from the current year, not least due to uncer- tainty regarding the effects of the international crises, for construction investment a slow recovery is forecast on the basis of some encouraging recent developments in orders and the expected acceleration in public work projects. Total investment is expected to continue to support economic- growth  in  1999  and  2000  as  continued  high  profitability and the transition to the euro act as a stimulus for enter- prises to renew their capital stock. Due to continued econ- omic expansion the labour market should continue to im- prove gradually. However, job creation will be limited at first, accelerating only towards the year 2000. Inflationary pressures  remain  low,  thanks  to  continued  wage  moder- ation and the decline in import prices. Further contributions to price stability stem from the depreciation of the US dollar since mid–1998 and a technical effect whereby the impact of the April 1998 VAT increase on prices falls out of the figures. 		
April/1999	Belgium	None	The  pace  of  economic  activity  decelerated  in  the  second half of 1998 mainly as a result of faltering external demand. In fact, the advanced indicator of economic activity, pub- lished by the Central Bank, has been falling since the fourth quarter of 1997 and more markedly since November 1998. As a result of further deceleration in activity during the first half of the year, real GDP growth is expected to slowdown from 2.9 % in 1998 to 1.9 % in 1999; however a rapid re- covery  is  foreseen  from  the  second  semester  of  the  year. These movements are mainly related to external develop- ments while domestic demand is expected to continue to be supportive in 1999, reflecting favourable consumer confi- dence levels, low interest rates and import prices; neverthe- less, increase in domestic demand should decelerate from 4.4 % in 1998 to 2.4 % in the current year. Private consumption is foreseen to increase by 2.4 % re- flecting  improvement  in  employment,  a  moderate  rise  in real  disposable  income,  and  persisting  consumer  confi- dence. Private investment should decelerate from 5 % in 1998 to 4 % in 1999, as a result of a reduction in capacity utilisation registered in the latest months of 1998 and the ikely postponement of investment decisions. Acceleration in gross capital formation and in exports will be the main driving factors of real GDP recovery in 2000 to 2.5 %. Wage moderation and measures taken in recent years in fa- vour of employment creation, particularly reduced social contributions for lower paid jobs, are expected to alleviate the negative impact of the slowdown in activity on the la- bour market. Total employment growth should decelerate from  1.3  %  in  1998  to  0.7  %  in  1999  and  then  recover somewhat to 0.9 % in 2000. The standardised unemploy- ment rate is forecast to decline from 8.8% in 1998 to 8.3 % in 1999 and to about 7.8% in 2000. Nominal compensation of employees per head is expected to  rise  on  average  by  about  2 ¼  %  per  year  in  the  period 1999–2000 implying real increases of about 1 percentage point  in  both  years.  Consumer  prices  are  expected  to  in- crease by 1 % in 1999, as in 1998, and to slightly accelerate in 2000 as a result of stronger demand. The  general  government  deficit  declined  from  1.9  %  of GDP in 1997 to 1.3 % in 1998 reflecting the effect of strong economic growth, in particular dynamic private consump- tion, and falling interest payments. On the basis of the cur- rent stance of fiscal policy, including a planned reduction in social security contributions in the coming years, the gov- ernment deficit is estimated to fall to just under 1 % of GDP in 1999. In fact, the expected slowdown in economic activ- ity should not have a significant effect on the projected defi- cit. The reduction in the deficit in 1999 will be partly due to the fact that one–off expenditures were undertaken in 1998, while lower than normal non–tax revenue were recorded; moreover, in 1999, roll–over of part of the public debt will be executed at declining interest rates.		
April/1999	Denmark	None	Following real GDP growth of about 2.7% in 1998, econ- omic activity is expected to slow down in 1999 with annual GDP growth of about 1.7%. Growth of domestic demand should  weaken  to  annual  2.0%,  partly  induced  by  the “Whitsun  package”. The  “Whitsun  package”,  which  was adopted in June 1998, aims at stabilising domestic demand, the main instruments being different tax measures such as a reduction  in  the  tax  allowance  for  interest  payments  on mortgage loans. Exports, which in 1998 were depressed by the  large  labour  market  conflict,  should  improve.  In  the year 2000 a slight recovery is expected, with GDP growing by some 2.0%. The weakening of domestic demand in 1999 is mainly due to a slackening of private consumption as the rise in both employment and housing prices, the main driving factors in 1998, is expected to fade out. Moreover, the effects of the Whitsun package should dampen the disposable income of households. Investment is expected to slow considerably in 1999. This is  in  particular  valid  for  equipment  investment  since  de- mand expectations are at a very low level, profit margins are  falling  and  capacity  utilisation  has  decreased  signifi- cantly during the last months. The growth rate of invest- ment in non–residential construction should also decline, mainly  as  a  result  of  a  reduction  in  infrastructure  invest- ment. However, the growth rate of residential construction is anticipated to decrease only slightly as the effect of the reduced tax deduction for mortgage loans included in the Whitsun  package  will  be  largely  offset  by  lower  interest rates. Exports are expected to increase somewhat, which mainly corresponds  to  a  technical  rebound  following  the  labour market conflict in spring last year. However, they will re- main  moderate  due  to  reduced  growth  in  Danish  export markets and a further loss of market shares. Import growth will be dampened by the general slowdown in domestic de- mand and, as a result, the balance of trade of goods and ser- vices should improve. In 2000, the impact of the Whitsun package on both con- sumption  and  residential  construction  should  be  stronger since interest rates are assumed to increase slightly. The ex- ternal contribution to GDP growth should further amelior- ate and the balance in the trade of services should improve.Unemployment  decreased  significantly  during  1998,  re- aching some 5%. The labour market is expected to remain rather tight and unemployment is forecast to decline further in 1999 and edge up in 2000. The tight labour market in 1998 was reflected in wage in- creases of about 4.4%. This situation is expected to con- tinue in 1999 and 2000 with wage increases of some 4%. Consumer prices increased by 1.3% in 1998. In 1999, the HICP  is  expected  to  rise  by  about  1.7%.  The  increase  in comparison to 1998 is due to higher indirect taxes on energy and the absence of the moderating effect of falling import prices observed in 1998. The increase in the HICP is fore- cast to level off in 2000. Government  finances  are  expected  to  remain  sound.  For 1999 a budget surplus of about 2.8% is forecast and the gov- ernment’s  gross  debt  could  fall  below  55%  of  GDP.  For 2000 a budget surplus of about 3.0% is expected and the gross debt could fall to close to 50% of GDP. Unemployment  decreased  significantly  during  1998,  re- aching some 5%. The labour market is expected to remain rather tight and unemployment is forecast to decline further in 1999 and edge up in 2000. The tight labour market in 1998 was reflected in wage in- creases of about 4.4%. This situation is expected to con- tinue in 1999 and 2000 with wage increases of some 4%. Consumer prices increased by 1.3% in 1998. In 1999, the HICP  is  expected  to  rise  by  about  1.7%.  The  increase  in comparison to 1998 is due to higher indirect taxes on energy and the absence of the moderating effect of falling import prices observed in 1998. The increase in the HICP is fore- cast to level off in 2000. Government  finances  are  expected  to  remain  sound.  For 1999 a budget surplus of about 2.8% is forecast and the gov- ernment’s  gross  debt  could  fall  below  55%  of  GDP.  For 2000 a budget surplus of about 3.0% is expected and the gross debt could fall to close to 50% of GDP.Unemployment  decreased  significantly  during  1998,  re- aching some 5%. The labour market is expected to remain rather tight and unemployment is forecast to decline further in 1999 and edge up in 2000. The tight labour market in 1998 was reflected in wage in- creases of about 4.4%. This situation is expected to con- tinue in 1999 and 2000 with wage increases of some 4%. Consumer prices increased by 1.3% in 1998. In 1999, the HICP  is  expected  to  rise  by  about  1.7%.  The  increase  in comparison to 1998 is due to higher indirect taxes on energy and the absence of the moderating effect of falling import prices observed in 1998. The increase in the HICP is fore- cast to level off in 2000. Government  finances  are  expected  to  remain  sound.  For 1999 a budget surplus of about 2.8% is forecast and the gov- ernment’s  gross  debt  could  fall  below  55%  of  GDP.  For 2000 a budget surplus of about 3.0% is expected and the gross debt could fall to close to 50% of GDP.		
April/1999	Germany	None	The German economy grew by a fairly strong 2.8% in 1998. Towards the end of the year, however, the negative effects of the international economic slowdown made themselves felt,  particularly  in  the  industrial  sector.  In  the  fourth quarter,  GDP  contracted  by  almost  half  a  point  on  the quarter, despite  robust private consumption. The forecast does not incorporate the  revision in 1998 GDP data pub- lished in March 1999. The revision of the data, however, does not alter the scenario presented in the forecast. GDP growth is likely to remain subdued in the first quarter of 1999. Depressed business confidence is likely to restrain investment; moreover, survey results seem to indicate that enterprises  increasingly  consider  their  stocks  of  finished products to be too high. This might well lead to destocking, and  therefore  lower  production,  in  the  first  half  of  1999. From then on, however, a gradual recovery is expected, be- cause the effects of the international financial crisis should fade out and private consumption should be increasingly buoyant.  The  decline  in  interest  rates,  witnessed  during 1998, should also tend to support economic growth. Over- all, the economy should improve in the course of the year, but, owing to a weak overhang at the end of 1998 and to a subdued first quarter, GDP is expected to expand by only about  1.7%  in  1999.  In  2000,  GDP  growth  could  reach 2.4%. Private  consumption  will  continue  to  accelerate  in  1999, supported by a very low inflation rate and a sustained im- provement  of  labour  incomes.  Furthermore,  consumers’ confidence has continued to improve in the last months, not least owing to the clear fall in unemployment from its peak at the end of 1997. In the year 2000, however, a slightly higher  inflation  is  expected  to  erode  part  of  the  gains  in households’ purchasing power, leading to a slight deceler- ation in real private consumption growth rate. Government consumption is likely to grow less than GDP in both 1999 and in 2000. Investment  is  not  expected  to  show  much  dynamism  in 1999.  Business  confidence  declined  sharply  during  1998 and until now, no improvement has been seen. Manufac- turers in particular are hit by a contraction in orders at the end of 1998, an acceleration in wages and, at least in the short term, a higher fiscal burden due to the closing of tax loopholes. Even though businesses operating in the service sector should benefit from stronger domestic demand, the now higher degree of uncertainty is likely to result in in- creased caution in decisions involving investments or per- sonnel. The improvement in the economic situation will in due course lead to more investment, but this will pay off mostly in 2000. Thus, equipment investment is forecast  to grow distinctly less in 1999 than in 1998. As for construc- tion investment, the outlook remains subdued. Exports declined sharply in the last quarter of 1998. Clear- ly, the deceleration of exports is set to continue in 1999;nevertheless, export markets should begin to recover this year. Furthermore, exports will also be supported by the re- versal  of  the  currency  appreciation  of  the  second  half  of 1998. The improvement should be clearer in 2000 as the ef- fects of the international crisis fade out. Imports, stimulated by  higher  private  consumption,  should  outpace  exports, leading to a negative overall growth contribution in 1999. The external growth contribution is, however, expected to become positive again in 2000. The  labour  market  situation  is  not  expected  to    improve much in 1999. The increase in the budget for active labour market  policies  envisaged  in  the  1999  budget  will,  how- ever, on average avoid a deterioration of the situation com- pared to 1998. Stronger growth should again lead to net job creation by the private sector in the year 2000. Against this background and also thanks to demographic trends, unem- ployment is expected to decrease further, but will stay close to 4 million on an annual average basis. Despite a 1–point increase in the VAT rate in April 1998, inflation  fell  to  only  0.2%  year–on–year  by  early  1999, thanks  to  sharp  declines  in  import  prices  and  unit  labour costs. CPI inflation should remain well below 1% in 1999, even  though  wages  growth  and  unit  labour  costs  are  ex- pected to accelerate compared to 1998. In 2000, only a mar- ginal pick–up in inflation is expected. The general government deficit declined further in 1998, from  2  %  to  close  to  2%  of  GDP.  Given  the  economic slowdown and low inflation, which reduces the growth of nominal GDP, a marginal increase in the deficit is expected in 1999, even though budgetary planning continues to be oriented  towards  containing  expenditure.  The  debt  ratio should remain close to present levels throughout the fore- cast period.		
April/1999	Greece	None	The performance of the Greek economy continued to im- prove: GDP growth accelerated while significant progress was achieved in curbing inflation and correcting fiscal im- balances. In March 1998, the drachma entered the ERM at a central  rate  representing  a  12.1%  devaluation  of  the currency. Domestic demand, in particular private consump- tion, slowed somewhat in 1998, under the combined impact of the devaluation and the moderate wage settlement. In- vestment activity continued to be strong while exports con- tributed to the acceleration in real output to an estimated rate of growth of 3.7%. Real output growth might deceler- ate temporarily in 1999 due to less dynamic export activity but  domestic  demand  is  expected  to  accelerate  this  year. Private consumption is forecast to recover in line with in- creasing real disposable income as the tax system is reach- ing its maturity. Investment is expected to remain the driv- ing force of domestic demand. The situation in the labour market improved in 1998, albeit marginally,  and  the  unemployment  rate  resumed  a  slow downward path. The improvement in the labour market is expected to be supported in the remainder of the forecasting period by sustained activity and the announced plans for structural reform. Real wages decelerated significantly in 1998, reflecting the restrictive incomes policy in the public sector and the two–year wage agreement signed in May inthe  private  sector,  which  provides  for  nominal  wage  in- creases on the basis of expected inflation. With real wages growing  below  labour  productivity,  unit  labour  costs  are forecast to rise at a moderate pace in both years. Slowing demand and labour costs assisted the containment of inflation in the post–devaluation period. On average con- sumer  prices  rose  by  4.8%  in  1998,  down  from  5.5%  in 1997. In this context, the appreciation of the drachma and low  international  commodity  prices  played  a  significant role, while underlying inflation was also on a downward path during the second half of 1998. Slowing labour costs, lower indirect taxes and international commodity prices are expected  to  contribute  to  further  disinflation  during  the forecasting  period.  Year–on–year  CPI  inflation  reached 3.7% in January and February 1999, and is expected to de- celerate further as from April when the impact of the last year devaluation will be fully absorbed.Public finance posted an uninterrupted improvement since 1994. The March 1998 devaluation was accompanied by fiscal measures aimed at preventing any overshoot in the budgetary targets. Due to the successful implementation of the accompanying measures, the general government defi- cit was 2.4% of GDP in 1998 as targeted in the convergence programme. Government debt was reduced by 2.9 percen- tage points of GDP, mainly due to higher receipts from pri- vatisation, following the implementation of the structural part of the accompanying measures. For 1999, the deficit of the general government is forecast to be 2.1% of GDP. Risks emanating from current revenues and primary expenditure are relatively small. This is par- ticularly  true  on  the  revenue  side  which  benefits  from growth dividend and the maturity of the fiscal system. The primary surplus is expected to reach 6.5% of GDP in 1999 and 2000 thus contributing to a further decline in the debt ratio in both years.		
