case	negative	positive
0013_1999-04-01 00:00:00_Spain.txt	20	37
0026_2000-04-01 00:00:00_France.txt	14	53
0173_2004-04-01 00:00:00_Malta.txt	29	30
0193_2004-11-01 00:00:00_Malta.txt	22	24
0139_2003-11-01 00:00:00_Finland.txt	14	29
0114_2003-04-01 00:00:00_Germany.txt	46	52
0057_2001-04-01 00:00:00_France.txt	25	28
0267_2006-04-01 00:00:00_Hungary.txt	21	18
0032_2000-04-01 00:00:00_Portugal.txt	22	31
0167_2003-11-01 00:00:00_Romania.txt	25	43
0018_1999-04-01 00:00:00_Netherlands.txt	10	14
0029_2000-04-01 00:00:00_Luxembourg.txt	8	27
0166_2003-11-01 00:00:00_Bulgaria.txt	14	32
0144_2004-04-01 00:00:00_Germany.txt	15	49
0066_2001-04-01 00:00:00_Sweden.txt	13	50
0124_2003-04-01 00:00:00_Finland.txt	26	46
0069_2001-11-01 00:00:00_Germany.txt	23	24
0254_2006-04-01 00:00:00_Belgium.txt	18	27
0252_2005-11-01 00:00:00_Sweden.txt	13	40
0228_2005-04-01 00:00:00_Sweden.txt	10	45
0046_2000-11-01 00:00:00_Netherlands.txt	19	28
0213_2005-04-01 00:00:00_Ireland.txt	14	42
0073_2001-11-01 00:00:00_Ireland.txt	22	38
0050_2000-11-01 00:00:00_Denmark.txt	16	27
0049_2000-11-01 00:00:00_Finland.txt	32	30
0096_2002-05-01 00:00:00_United Kingdom.txt	31	52
0132_2003-11-01 00:00:00_France.txt	24	33
0187_2004-11-01 00:00:00_Italy.txt	49	41
0164_2003-11-01 00:00:00_Slovakia.txt	20	24
0093_2002-05-01 00:00:00_Portugal.txt	27	36
0106_2002-11-01 00:00:00_Netherlands.txt	54	49
0216_2005-04-01 00:00:00_Latvia.txt	19	40
0087_2002-05-01 00:00:00_France.txt	34	51
0247_2005-11-01 00:00:00_Poland.txt	33	42
0244_2005-11-01 00:00:00_Malta.txt	18	30
0202_2004-11-01 00:00:00_United Kingdom.txt	22	63
0038_2000-11-01 00:00:00_Belgium.txt	14	52
0231_2005-11-01 00:00:00_Denmark.txt	18	32
0248_2005-11-01 00:00:00_Portugal.txt	32	29
0039_2000-11-01 00:00:00_Germany.txt	21	51
0212_2005-04-01 00:00:00_France.txt	36	58
0055_2001-04-01 00:00:00_Greece.txt	16	33
0150_2004-04-01 00:00:00_Luxembourg.txt	19	32
0249_2005-11-01 00:00:00_Slovenia.txt	28	34
0259_2006-04-01 00:00:00_Spain.txt	40	41
0108_2002-11-01 00:00:00_Portugal.txt	25	37
0123_2003-04-01 00:00:00_Portugal.txt	41	48
0224_2005-04-01 00:00:00_Portugal.txt	30	30
0120_2003-04-01 00:00:00_Luxembourg.txt	38	34
0178_2004-04-01 00:00:00_Romania.txt	18	35
0215_2005-04-01 00:00:00_Cyprus.txt	19	49
0143_2004-04-01 00:00:00_Denmark.txt	18	29
0001_1998-10-01 00:00:00_Italy.txt	7	20
0041_2000-11-01 00:00:00_Spain.txt	18	45
0059_2001-04-01 00:00:00_Italy.txt	28	45
0019_1999-04-01 00:00:00_Austria.txt	8	28
0273_2006-04-01 00:00:00_Slovenia.txt	26	42
0126_2003-04-01 00:00:00_United Kingdom.txt	32	54
0121_2003-04-01 00:00:00_Netherlands.txt	50	44
0065_2001-04-01 00:00:00_Denmark.txt	18	38
0238_2005-11-01 00:00:00_Italy.txt	39	58
0211_2005-04-01 00:00:00_Spain.txt	32	49
0205_2004-11-01 00:00:00_Romania.txt	19	38
0225_2005-04-01 00:00:00_Slovenia.txt	22	43
0061_2001-04-01 00:00:00_Netherlands.txt	18	23
0040_2000-11-01 00:00:00_Greece.txt	20	31
0179_2004-11-01 00:00:00_Belgium.txt	21	25
0027_2000-04-01 00:00:00_Ireland.txt	17	41
0056_2001-04-01 00:00:00_Spain.txt	27	50
0125_2003-04-01 00:00:00_Sweden.txt	30	54
0168_2004-04-01 00:00:00_Cyprus.txt	18	43
0147_2004-04-01 00:00:00_France.txt	22	31
0034_2000-04-01 00:00:00_Denmark.txt	10	36
0262_2006-04-01 00:00:00_Italy.txt	41	59
0192_2004-11-01 00:00:00_Hungary.txt	16	23
0094_2002-05-01 00:00:00_Finland.txt	26	55
0232_2005-11-01 00:00:00_Germany.txt	31	50
0198_2004-11-01 00:00:00_Slovenia.txt	21	38
